Y-Axis Intensity. Match cells 1:1 with HyTES_WMX for X-Axis spectral wavelength location.,,,,,,,
BND,wvl1,wvl2,wvl3,wvl4,wvl5,wvl6,wvl7
81,0.0028428,0.013832,0.20741,0.58703,0.15769,0.024529,0.0066689
82,0.0028648,0.013859,0.20663,0.58598,0.15898,0.024905,0.006777
83,0.0028691,0.013864,0.20576,0.58496,0.16033,0.025332,0.0068802
84,0.0028743,0.013857,0.20474,0.58376,0.16204,0.025741,0.006984
85,0.0028975,0.013869,0.20377,0.58276,0.16345,0.026152,0.0071043
86,0.0028562,0.013839,0.20292,0.58169,0.16488,0.026563,0.0072491
87,0.0029087,0.01387,0.20207,0.5805,0.16621,0.02701,0.0074191
88,0.0028985,0.013838,0.20116,0.57931,0.16781,0.027447,0.00754
89,0.0028499,0.013787,0.20017,0.57817,0.16942,0.027917,0.0076874
90,0.0028445,0.013849,0.20006,0.57727,0.16996,0.028219,0.0077939
91,0.0028488,0.013907,0.19992,0.57643,0.17049,0.028516,0.0078973
92,0.0028457,0.013944,0.19977,0.57559,0.17107,0.028796,0.007994
93,0.0028204,0.013988,0.19947,0.57468,0.17178,0.029138,0.0081181
94,0.0028896,0.014094,0.1992,0.57353,0.17251,0.029522,0.0082562
95,0.0028696,0.014129,0.19896,0.57261,0.17323,0.029848,0.0083619
96,0.0029704,0.014268,0.19876,0.57129,0.17391,0.030256,0.0085475
97,0.0029639,0.014339,0.19846,0.57023,0.17471,0.03063,0.0086605
98,0.0029274,0.014363,0.19811,0.56921,0.17569,0.03098,0.0087204
99,0.0029611,0.014376,0.19657,0.56841,0.17741,0.031427,0.0088549
100,0.0029858,0.014404,0.19512,0.56749,0.17914,0.031863,0.0089946
101,0.0029976,0.014415,0.19369,0.56651,0.18092,0.032321,0.0091406
102,0.002962,0.014448,0.19294,0.56594,0.18191,0.032602,0.0091993
103,0.0030089,0.014555,0.19212,0.56521,0.18286,0.032916,0.0093267
104,0.0030462,0.014616,0.19149,0.5645,0.18379,0.033172,0.009382
105,0.0030873,0.014738,0.19081,0.56356,0.18471,0.033554,0.0095355
106,0.0031248,0.014781,0.19001,0.5627,0.18592,0.033846,0.0096191
107,0.0032359,0.01486,0.18868,0.5622,0.18707,0.034199,0.0097492
108,0.00323,0.014846,0.18786,0.5616,0.18814,0.034489,0.0098337
109,0.0032605,0.014886,0.18716,0.56081,0.18916,0.034781,0.0099463
110,0.0033323,0.014937,0.18635,0.5599,0.19021,0.03511,0.010161
111,0.0033036,0.014877,0.18541,0.559,0.19126,0.035793,0.010351
112,0.0033419,0.014945,0.18498,0.55716,0.19274,0.036389,0.01045
113,0.0033746,0.015181,0.18556,0.55439,0.19415,0.036758,0.010583
114,0.0033546,0.01518,0.18642,0.55326,0.19427,0.03689,0.010624
115,0.0033637,0.015944,0.187,0.55163,0.19434,0.03704,0.01069
116,0.0034107,0.016127,0.18749,0.55047,0.1946,0.037193,0.010708
117,0.0034508,0.016333,0.18792,0.54932,0.19487,0.037338,0.010766
118,0.0034615,0.016532,0.18839,0.5482,0.19514,0.037472,0.010801
119,0.0034851,0.016763,0.18867,0.5471,0.1955,0.037641,0.010846
120,0.003506,0.016979,0.18877,0.54605,0.19597,0.037821,0.010901
121,0.0034999,0.017129,0.18877,0.54513,0.19654,0.037992,0.010943
122,0.003517,0.017327,0.18879,0.54405,0.19709,0.038203,0.011017
123,0.0035105,0.017496,0.18876,0.54313,0.19768,0.038371,0.011051
124,0.0034724,0.017635,0.18858,0.54225,0.19837,0.038563,0.011136
125,0.0034929,0.017788,0.18828,0.54125,0.19915,0.038822,0.011221
126,0.0034808,0.017949,0.18786,0.54028,0.20005,0.039073,0.011318
127,0.0035096,0.018268,0.18844,0.53906,0.20018,0.039188,0.011353
128,0.0035,0.01857,0.189,0.53792,0.20036,0.039273,0.011377
129,0.0035584,0.018943,0.18939,0.53667,0.20057,0.039414,0.01145
