X-Axis Wavelength location in microns. Match cells 1:1 with HyTES_SRF for Y-Axis intensity strength.,,,,,,,
BND,wvl1,wvl2,wvl3,wvl4,wvl5,wvl6,wvl7
86,8.9367,8.9547,8.9727,8.9907,9.0087,9.0267,9.0447
87,8.9543,8.9723,8.9903,9.0083,9.0263,9.0433,9.0613
88,8.973,8.991,9.008,9.026,9.044,9.062,9.08
89,8.9896,9.0076,9.0256,9.0436,9.0616,9.0796,9.0976
90,9.0072,9.0252,9.0432,9.0612,9.0792,9.0962,9.1142
91,9.0258,9.0428,9.0608,9.0788,9.0968,9.1148,9.1328
92,9.0424,9.0604,9.0784,9.0964,9.1144,9.1324,9.1504
93,9.0601,9.0781,9.0961,9.1141,9.1311,9.1491,9.1671
94,9.0787,9.0957,9.1137,9.1317,9.1497,9.1677,9.1857
95,9.0953,9.1133,9.1313,9.1493,9.1673,9.1853,9.2033
96,9.1129,9.1309,9.1489,9.1669,9.1839,9.2019,9.2199
97,9.1305,9.1485,9.1665,9.1845,9.2025,9.2205,9.2385
98,9.1482,9.1662,9.1842,9.2022,9.2202,9.2382,9.2562
99,9.1668,9.1848,9.2028,9.2198,9.2378,9.2558,9.2738
100,9.1834,9.2014,9.2194,9.2374,9.2554,9.2734,9.2914
101,9.201,9.219,9.237,9.255,9.273,9.291,9.308
102,9.2196,9.2376,9.2556,9.2726,9.2906,9.3086,9.3266
103,9.2363,9.2543,9.2723,9.2903,9.3083,9.3263,9.3443
104,9.2539,9.2719,9.2899,9.3079,9.3259,9.3429,9.3609
105,9.2725,9.2905,9.3075,9.3255,9.3435,9.3615,9.3795
106,9.2891,9.3071,9.3251,9.3431,9.3611,9.3791,9.3971
107,9.3067,9.3247,9.3427,9.3607,9.3787,9.3957,9.4137
108,9.3254,9.3424,9.3604,9.3784,9.3964,9.4144,9.4324
109,9.342,9.36,9.378,9.396,9.414,9.432,9.45
110,9.3596,9.3776,9.3956,9.4136,9.4306,9.4486,9.4666
111,9.3782,9.3952,9.4132,9.4312,9.4492,9.4672,9.4852
112,9.3948,9.4128,9.4308,9.4488,9.4668,9.4848,9.5028
113,9.4125,9.4305,9.4485,9.4665,9.4835,9.5015,9.5195
